t,x,F,falla,severidad
0.0000000000,0.0000105113,-0.0043677854,desbalanceo,0.2000000000
0.0005000000,0.0000026458,-0.0150324647,desbalanceo,0.2000000000
0.0010000000,-0.0000065393,0.0054852415,desbalanceo,0.2000000000
0.0015000000,0.0000026060,0.0036859686,desbalanceo,0.2000000000
0.0020000000,0.0000162713,0.0113861112,desbalanceo,0.2000000000
0.0025000000,0.0000034625,0.0013125724,desbalanceo,0.2000000000
0.0030000000,-0.0000067773,-0.0039486791,desbalanceo,0.2000000000
0.0035000000,0.0000033275,0.0011096094,desbalanceo,0.2000000000
0.0040000000,0.0000077017,-0.0177776393,desbalanceo,0.2000000000
0.0045000000,-0.0000065525,0.0008838473,desbalanceo,0.2000000000
0.0050000000,-0.0000023669,0.0061520124,desbalanceo,0.2000000000
0.0055000000,-0.0000146808,0.0102950730,desbalanceo,0.2000000000
0.0060000000,-0.0000074913,-0.0051989691,desbalanceo,0.2000000000
0.0065000000,0.0000186198,0.0080285458,desbalanceo,0.2000000000
0.0070000000,-0.0000100349,0.0227997420,desbalanceo,0.2000000000
0.0075000000,0.0000143687,0.0069198602,desbalanceo,0.2000000000
0.0080000000,-0.0000107094,-0.0027421072,desbalanceo,0.2000000000
0.0085000000,-0.0000264026,0.0102544673,desbalanceo,0.2000000000
0.0090000000,0.0000072389,0.0058482202,desbalanceo,0.2000000000
0.0095000000,-0.0000084809,0.0156867754,desbalanceo,0.2000000000
0.0100000000,0.0000015541,0.0166983003,desbalanceo,0.2000000000
0.0105000000,0.0000067202,-0.0145379395,desbalanceo,0.2000000000
0.0110000000,-0.0000053518,0.0006911014,desbalanceo,0.2000000000
0.0115000000,-0.0000150408,0.0118384841,desbalanceo,0.2000000000
0.0120000000,0.0000039095,0.0344582599,desbalanceo,0.2000000000
0.0125000000,-0.0000029210,-0.0022533651,desbalanceo,0.2000000000
0.0130000000,0.0000117181,0.0266350255,desbalanceo,0.2000000000
0.0135000000,0.0000158784,0.0164728052,desbalanceo,0.2000000000
0.0140000000,0.0000086753,-0.0050785249,desbalanceo,0.2000000000
0.0145000000,0.0000077406,0.0158930325,desbalanceo,0.2000000000
0.0150000000,0.0000097518,0.0088488118,desbalanceo,0.2000000000
0.0155000000,0.0000144723,0.0108178771,desbalanceo,0.2000000000
0.0160000000,0.0000041083,0.0107610697,desbalanceo,0.2000000000
0.0165000000,-0.0000021658,-0.0058984084,desbalanceo,0.2000000000
0.0170000000,0.0000101261,0.0151571563,desbalanceo,0.2000000000
0.0175000000,0.0000013797,0.0239592579,desbalanceo,0.2000000000
0.0180000000,0.0000203211,0.0127887249,desbalanceo,0.2000000000
0.0185000000,0.0000053159,0.0039494160,desbalanceo,0.2000000000
0.0190000000,0.0000026350,0.0117078207,desbalanceo,0.2000000000
0.0195000000,0.0000097822,0.0181313682,desbalanceo,0.2000000000
0.0200000000,0.0000130982,0.0125413727,desbalanceo,0.2000000000
0.0205000000,0.0000064527,0.0129296234,desbalanceo,0.2000000000
0.0210000000,0.0000075321,-0.0037414253,desbalanceo,0.2000000000
0.0215000000,-0.0000081330,-0.0004106024,desbalanceo,0.2000000000
0.0220000000,-0.0000018563,0.0124219771,desbalanceo,0.2000000000
0.0225000000,-0.0000119088,-0.0052185597,desbalanceo,0.2000000000
0.0230000000,0.0000294099,0.0136905670,desbalanceo,0.2000000000
0.0235000000,0.0000152888,0.0251930629,desbalanceo,0.2000000000
0.0240000000,0.0000136046,0.0198162013,desbalanceo,0.2000000000
0.0245000000,-0.0000093794,0.0209467863,desbalanceo,0.2000000000
0.0250000000,0.0000007782,0.0196005295,desbalanceo,0.2000000000
0.0255000000,0.0000073272,0.0237970290,desbalanceo,0.2000000000
0.0260000000,0.0000073194,0.0023962255,desbalanceo,0.2000000000
0.0265000000,0.0000056518,0.0132279842,desbalanceo,0.2000000000
0.0270000000,-0.0000157144,-0.0014755039,desbalanceo,0.2000000000
0.0275000000,-0.0000002131,0.0137874562,desbalanceo,0.2000000000
0.0280000000,0.0000045881,0.0176046281,desbalanceo,0.2000000000
0.0285000000,-0.0000043062,0.0150798179,desbalanceo,0.2000000000
0.0290000000,0.0000191891,0.0132425512,desbalanceo,0.2000000000
0.0295000000,0.0000129314,0.0153885517,desbalanceo,0.2000000000
0.0300000000,-0.0000045946,0.0281757213,desbalanceo,0.2000000000
0.0305000000,-0.0000042790,0.0228141690,desbalanceo,0.2000000000
0.0310000000,0.0000198593,0.0175861893,desbalanceo,0.2000000000
0.0315000000,0.0000115045,0.0062166001,desbalanceo,0.2000000000
0.0320000000,-0.0000348105,0.0141936812,desbalanceo,0.2000000000
0.0325000000,0.0000132644,0.0142797183,desbalanceo,0.2000000000
0.0330000000,0.0000087469,0.0244599485,desbalanceo,0.2000000000
0.0335000000,-0.0000044764,0.0118817489,desbalanceo,0.2000000000
0.0340000000,-0.0000075379,0.0060859500,desbalanceo,0.2000000000
0.0345000000,-0.0000084506,0.0176916217,desbalanceo,0.2000000000
