t,x,F,falla,severidad
0.0000000000,-0.0000008159,0.0114658794,desgaste_rodamiento,0.6000000000
0.0005000000,-0.0000001824,0.1723876776,desgaste_rodamiento,0.6000000000
0.0010000000,0.0000000824,0.3141895208,desgaste_rodamiento,0.6000000000
0.0015000000,-0.0000002784,0.4434499801,desgaste_rodamiento,0.6000000000
0.0020000000,0.0000004461,0.5461921012,desgaste_rodamiento,0.6000000000
0.0025000000,0.0000013815,0.6507662223,desgaste_rodamiento,0.6000000000
0.0030000000,0.0000007126,0.6658821397,desgaste_rodamiento,0.6000000000
0.0035000000,0.0000014928,0.6742285661,desgaste_rodamiento,0.6000000000
0.0040000000,0.0000024761,0.6645790732,desgaste_rodamiento,0.6000000000
0.0045000000,0.0000029376,0.6086447847,desgaste_rodamiento,0.6000000000
0.0050000000,0.0000043549,0.5445346108,desgaste_rodamiento,0.6000000000
0.0055000000,0.0000054257,0.4658627092,desgaste_rodamiento,0.6000000000
0.0060000000,0.0000077305,0.3811448411,desgaste_rodamiento,0.6000000000
0.0065000000,0.0000081492,0.2955855961,desgaste_rodamiento,0.6000000000
0.0070000000,0.0000089292,0.2124060969,desgaste_rodamiento,0.6000000000
0.0075000000,0.0000117105,0.1510626463,desgaste_rodamiento,0.6000000000
0.0080000000,0.0000131741,0.0888516545,desgaste_rodamiento,0.6000000000
0.0085000000,0.0000153552,0.0608338516,desgaste_rodamiento,0.6000000000
0.0090000000,0.0000166751,0.0341241058,desgaste_rodamiento,0.6000000000
0.0095000000,0.0000193316,-0.0488987455,desgaste_rodamiento,0.6000000000
0.0100000000,0.0000203144,-0.0833872256,desgaste_rodamiento,0.6000000000
0.0105000000,0.0000221069,-0.1544083991,desgaste_rodamiento,0.6000000000
0.0110000000,0.0000240793,-0.2057550265,desgaste_rodamiento,0.6000000000
0.0115000000,0.0000251380,-0.2818152132,desgaste_rodamiento,0.6000000000
0.0120000000,0.0000268098,-0.3335952490,desgaste_rodamiento,0.6000000000
0.0125000000,0.0000279932,-0.4241541184,desgaste_rodamiento,0.6000000000
0.0130000000,0.0000292956,-0.4948728627,desgaste_rodamiento,0.6000000000
0.0135000000,0.0000309443,-0.5801479459,desgaste_rodamiento,0.6000000000
0.0140000000,0.0000318477,-0.6383179365,desgaste_rodamiento,0.6000000000
0.0145000000,0.0000337352,-0.6741946245,desgaste_rodamiento,0.6000000000
0.0150000000,0.0000347758,-0.6970278103,desgaste_rodamiento,0.6000000000
