t,x,F,falla,severidad
0.0000000000,-0.0000000434,-0.0010447859,falla_engranaje,0.0000000000
0.0005000000,-0.0000000890,-0.0019346748,falla_engranaje,0.0000000000
0.0010000000,-0.0000000938,0.0021807441,falla_engranaje,0.0000000000
0.0015000000,-0.0000002045,0.0010117008,falla_engranaje,0.0000000000
0.0020000000,-0.0000001601,0.0080989966,falla_engranaje,0.0000000000
0.0025000000,0.0000000687,0.0056013541,falla_engranaje,0.0000000000
0.0030000000,0.0000002755,0.0024679611,falla_engranaje,0.0000000000
0.0035000000,-0.0000001074,-0.0029007830,falla_engranaje,0.0000000000
0.0040000000,-0.0000003034,0.0059714549,falla_engranaje,0.0000000000
0.0045000000,0.0000000470,0.0050886524,falla_engranaje,0.0000000000
0.0050000000,-0.0000001226,0.0032273349,falla_engranaje,0.0000000000
0.0055000000,0.0000002361,0.0070500724,falla_engranaje,0.0000000000
0.0060000000,0.0000000254,-0.0079741106,falla_engranaje,0.0000000000
0.0065000000,0.0000000895,-0.0048994677,falla_engranaje,0.0000000000
0.0070000000,-0.0000001513,-0.0044520123,falla_engranaje,0.0000000000
0.0075000000,-0.0000001178,-0.0146155262,falla_engranaje,0.0000000000
0.0080000000,-0.0000002438,0.0048243432,falla_engranaje,0.0000000000
0.0085000000,0.0000000568,0.0020718239,falla_engranaje,0.0000000000
0.0090000000,0.0000000853,-0.0041246335,falla_engranaje,0.0000000000
0.0095000000,-0.0000002538,0.0010884544,falla_engranaje,0.0000000000
0.0100000000,0.0000000889,-0.0090959238,falla_engranaje,0.0000000000
0.0105000000,-0.0000000566,0.0023400399,falla_engranaje,0.0000000000
0.0110000000,-0.0000001060,0.0162380409,falla_engranaje,0.0000000000
0.0115000000,-0.0000000700,0.0142494842,falla_engranaje,0.0000000000
0.0120000000,0.0000000315,0.0147137506,falla_engranaje,0.0000000000
0.0125000000,-0.0000000903,0.0015695120,falla_engranaje,0.0000000000
0.0130000000,0.0000001790,0.0147306324,falla_engranaje,0.0000000000
0.0135000000,0.0000003772,-0.0028830410,falla_engranaje,0.0000000000
0.0140000000,0.0000002550,-0.0139290149,falla_engranaje,0.0000000000
0.0145000000,0.0000004274,-0.0011419624,falla_engranaje,0.0000000000
0.0150000000,0.0000002769,0.0038894249,falla_engranaje,0.0000000000
0.0155000000,0.0000001249,-0.0023485166,falla_engranaje,0.0000000000
0.0160000000,0.0000002038,0.0007594653,falla_engranaje,0.0000000000
0.0165000000,0.0000002918,-0.0225756501,falla_engranaje,0.0000000000
0.0170000000,0.0000001651,0.0035210808,falla_engranaje,0.0000000000
0.0175000000,-0.0000000845,-0.0094492617,falla_engranaje,0.0000000000
0.0180000000,-0.0000000956,0.0017203684,falla_engranaje,0.0000000000
0.0185000000,0.0000002933,-0.0045136995,falla_engranaje,0.0000000000
0.0190000000,0.0000003407,-0.0217113979,falla_engranaje,0.0000000000
0.0195000000,0.0000004740,-0.0107691058,falla_engranaje,0.0000000000
0.0200000000,0.0000003201,-0.0061493882,falla_engranaje,0.0000000000
0.0205000000,0.0000001114,-0.0113820673,falla_engranaje,0.0000000000
0.0210000000,0.0000002555,0.0008269048,falla_engranaje,0.0000000000
0.0215000000,0.0000002093,0.0014837040,falla_engranaje,0.0000000000
0.0220000000,0.0000003838,0.0018536376,falla_engranaje,0.0000000000
0.0225000000,0.0000003353,-0.0089913149,falla_engranaje,0.0000000000
0.0230000000,0.0000003527,-0.0181563702,falla_engranaje,0.0000000000
0.0235000000,0.0000004124,0.0003183453,falla_engranaje,0.0000000000
0.0240000000,0.0000004654,0.0113957333,falla_engranaje,0.0000000000
0.0245000000,0.0000002294,0.0006218264,falla_engranaje,0.0000000000
0.0250000000,0.0000002682,-0.0097523496,falla_engranaje,0.0000000000
0.0255000000,0.0000001739,0.0102596725,falla_engranaje,0.0000000000
0.0260000000,0.0000001060,0.0045179735,falla_engranaje,0.0000000000
0.0265000000,0.0000000030,0.0122572097,falla_engranaje,0.0000000000
0.0270000000,0.0000002112,-0.0079026489,falla_engranaje,0.0000000000
0.0275000000,0.0000000923,-0.0005928111,falla_engranaje,0.0000000000
0.0280000000,0.0000000775,0.0019290608,falla_engranaje,0.0000000000
0.0285000000,0.0000000868,0.0005485673,falla_engranaje,0.0000000000
0.0290000000,0.0000001209,0.0027218545,falla_engranaje,0.0000000000
0.0295000000,0.0000000169,0.0278367047,falla_engranaje,0.0000000000
0.0300000000,0.0000000883,0.0097101237,falla_engranaje,0.0000000000
0.0305000000,0.0000001891,0.0039354509,falla_engranaje,0.0000000000
0.0310000000,-0.0000001037,0.0018114987,falla_engranaje,0.0000000000
0.0315000000,0.0000002977,-0.0120616385,falla_engranaje,0.0000000000
0.0320000000,0.0000001201,0.0117051574,falla_engranaje,0.0000000000
0.0325000000,0.0000000653,0.0059148326,falla_engranaje,0.0000000000
0.0330000000,0.0000002110,0.0225181299,falla_engranaje,0.0000000000
0.0335000000,0.0000001160,-0.0109897947,falla_engranaje,0.0000000000
0.0340000000,0.0000003273,-0.0070506659,falla_engranaje,0.0000000000
0.0345000000,-0.0000000572,0.0065446615,falla_engranaje,0.0000000000
0.0350000000,0.0000001553,-0.0222881638,falla_engranaje,0.0000000000
0.0355000000,0.0000001021,0.0011492061,falla_engranaje,0.0000000000
0.0360000000,-0.0000001393,-0.0024379685,falla_engranaje,0.0000000000
0.0365000000,0.0000002348,0.0104378569,falla_engranaje,0.0000000000
0.0370000000,0.0000001936,0.0064525559,falla_engranaje,0.0000000000
0.0375000000,0.0000002329,0.0041981215,falla_engranaje,0.0000000000
0.0380000000,-0.0000000579,-0.0108458688,falla_engranaje,0.0000000000
0.0385000000,0.0000002273,-0.0012207176,falla_engranaje,0.0000000000
0.0390000000,-0.0000000789,-0.0007259651,falla_engranaje,0.0000000000
0.0395000000,0.0000004317,0.0032141396,falla_engranaje,0.0000000000
0.0400000000,0.0000001764,0.0041477767,falla_engranaje,0.0000000000
0.0405000000,0.0000005717,-0.0020308650,falla_engranaje,0.0000000000
0.0410000000,0.0000001826,0.0059907531,falla_engranaje,0.0000000000
0.0415000000,0.0000002980,-0.0240279535,falla_engranaje,0.0000000000
0.0420000000,0.0000004116,0.0192797575,falla_engranaje,0.0000000000
0.0425000000,0.0000001456,-0.0002366466,falla_engranaje,0.0000000000
0.0430000000,0.0000002659,-0.0044907407,falla_engranaje,0.0000000000
0.0435000000,0.0000002336,-0.0097455275,falla_engranaje,0.0000000000
0.0440000000,0.0000001062,-0.0048157265,falla_engranaje,0.0000000000
0.0445000000,0.0000000516,-0.0018055056,falla_engranaje,0.0000000000
0.0450000000,0.0000004057,0.0155967858,falla_engranaje,0.0000000000
0.0455000000,0.0000002835,-0.0189497614,falla_engranaje,0.0000000000
0.0460000000,0.0000006407,0.0088891494,falla_engranaje,0.0000000000
0.0465000000,0.0000004681,-0.0025357034,falla_engranaje,0.0000000000
0.0470000000,0.0000001597,-0.0098037119,falla_engranaje,0.0000000000
0.0475000000,0.0000000203,-0.0038584833,falla_engranaje,0.0000000000
0.0480000000,0.0000003458,-0.0018380991,falla_engranaje,0.0000000000
0.0485000000,0.0000001466,-0.0126383693,falla_engranaje,0.0000000000
0.0490000000,0.0000003879,-0.0100387918,falla_engranaje,0.0000000000
0.0495000000,0.0000002484,-0.0113080872,falla_engranaje,0.0000000000
0.0500000000,0.0000003372,-0.0194165335,falla_engranaje,0.0000000000
0.0505000000,0.0000002653,0.0022841486,falla_engranaje,0.0000000000
0.0510000000,0.0000002723,-0.0180140343,falla_engranaje,0.0000000000
0.0515000000,0.0000001699,-0.0071937995,falla_engranaje,0.0000000000
0.0520000000,-0.0000000467,-0.0009703137,falla_engranaje,0.0000000000
0.0525000000,0.0000003264,0.0113406659,falla_engranaje,0.0000000000
0.0530000000,0.0000004338,0.0031825492,falla_engranaje,0.0000000000
0.0535000000,0.0000000647,-0.0156986845,falla_engranaje,0.0000000000
0.0540000000,0.0000001218,0.0053164053,falla_engranaje,0.0000000000
0.0545000000,0.0000002716,-0.0129442501,falla_engranaje,0.0000000000
0.0550000000,0.0000000451,0.0033044150,falla_engranaje,0.0000000000
0.0555000000,0.0000000115,-0.0045454212,falla_engranaje,0.0000000000
0.0560000000,0.0000001629,-0.0189613777,falla_engranaje,0.0000000000
0.0565000000,-0.0000000553,-0.0031568394,falla_engranaje,0.0000000000
0.0570000000,0.0000001634,0.0061382388,falla_engranaje,0.0000000000
0.0575000000,-0.0000000403,0.0041768330,falla_engranaje,0.0000000000
0.0580000000,0.0000000030,-0.0044392499,falla_engranaje,0.0000000000
0.0585000000,-0.0000003233,-0.0082858076,falla_engranaje,0.0000000000
0.0590000000,-0.0000000296,-0.0051679037,falla_engranaje,0.0000000000
0.0595000000,-0.0000002027,0.0072772936,falla_engranaje,0.0000000000
0.0600000000,-0.0000002348,-0.0061087328,falla_engranaje,0.0000000000
0.0605000000,-0.0000001816,-0.0096530259,falla_engranaje,0.0000000000
0.0610000000,-0.0000002197,-0.0047919982,falla_engranaje,0.0000000000
0.0615000000,-0.0000002632,0.0103577449,falla_engranaje,0.0000000000
0.0620000000,-0.0000003008,0.0066110295,falla_engranaje,0.0000000000
0.0625000000,-0.0000002932,0.0026634746,falla_engranaje,0.0000000000
0.0630000000,-0.0000003991,0.0111079553,falla_engranaje,0.0000000000
0.0635000000,-0.0000003241,0.0168936583,falla_engranaje,0.0000000000
0.0640000000,-0.0000005052,0.0126101190,falla_engranaje,0.0000000000
0.0645000000,-0.0000005467,-0.0010175032,falla_engranaje,0.0000000000
0.0650000000,-0.0000003966,-0.0085931709,falla_engranaje,0.0000000000
