t,x,F,falla,severidad
0.0000000000,0.0000001609,-0.0113700070,holgura,0.2000000000
0.0005000000,-0.0000001169,-0.0031844912,holgura,0.2000000000
0.0010000000,-0.0000000088,-0.0194785886,holgura,0.2000000000
0.0015000000,-0.0000008034,-0.0072326067,holgura,0.2000000000
0.0020000000,0.0000000739,0.0020111957,holgura,0.2000000000
0.0025000000,-0.0000001626,-0.0121215560,holgura,0.2000000000
0.0030000000,0.0000004662,0.0134879239,holgura,0.2000000000
0.0035000000,-0.0000000259,-0.0089084361,holgura,0.2000000000
0.0040000000,-0.0000001028,0.0001132730,holgura,0.2000000000
0.0045000000,0.0000001108,-0.0062284893,holgura,0.2000000000
0.0050000000,-0.0000002817,0.0116713312,holgura,0.2000000000
0.0055000000,0.0000007368,0.0062293911,holgura,0.2000000000
0.0060000000,0.0000003186,-0.0096430499,holgura,0.2000000000
0.0065000000,-0.0000005013,0.0028210782,holgura,0.2000000000
0.0070000000,0.0000001473,-0.0015339991,holgura,0.2000000000
0.0075000000,-0.0000000401,-0.0035661648,holgura,0.2000000000
0.0080000000,-0.0000001339,-0.0092338811,holgura,0.2000000000
0.0085000000,-0.0000003581,0.0226745749,holgura,0.2000000000
0.0090000000,-0.0000004681,-0.0050948812,holgura,0.2000000000
0.0095000000,-0.0000000981,-0.0094804619,holgura,0.2000000000
0.0100000000,-0.0000000733,-0.0012303587,holgura,0.2000000000
0.0105000000,-0.0000000655,0.0048165176,holgura,0.2000000000
0.0110000000,-0.0000002361,-0.0116873243,holgura,0.2000000000
0.0115000000,-0.0000005908,0.0009254143,holgura,0.2000000000
0.0120000000,-0.0000002271,-0.0071615323,holgura,0.2000000000
0.0125000000,0.0000004008,0.0034046353,holgura,0.2000000000
0.0130000000,0.0000001065,0.0227725928,holgura,0.2000000000
0.0135000000,-0.0000005102,-0.0051819272,holgura,0.2000000000
0.0140000000,0.0000002570,-0.0142731224,holgura,0.2000000000
0.0145000000,-0.0000005804,-0.0095841097,holgura,0.2000000000
0.0150000000,-0.0000002885,-0.0014725641,holgura,0.2000000000
0.0155000000,-0.0000005284,-0.0130897308,holgura,0.2000000000
0.0160000000,-0.0000000125,0.0088528558,holgura,0.2000000000
0.0165000000,-0.0000003327,-0.0003783297,holgura,0.2000000000
0.0170000000,-0.0000008580,0.0064857979,holgura,0.2000000000
0.0175000000,-0.0000000023,0.0099029306,holgura,0.2000000000
0.0180000000,0.0000002801,-0.0079173439,holgura,0.2000000000
0.0185000000,-0.0000008709,0.0010075711,holgura,0.2000000000
0.0190000000,-0.0000002052,-0.0037530330,holgura,0.2000000000
0.0195000000,-0.0000006313,-0.0113074377,holgura,0.2000000000
0.0200000000,-0.0000002924,-0.0009707720,holgura,0.2000000000
0.0205000000,-0.0000008725,-0.0185054480,holgura,0.2000000000
0.0210000000,-0.0000004731,-0.0005644038,holgura,0.2000000000
0.0215000000,-0.0000005196,0.0173353581,holgura,0.2000000000
0.0220000000,-0.0000009977,0.0017093831,holgura,0.2000000000
0.0225000000,-0.0000008900,0.0060368374,holgura,0.2000000000
0.0230000000,-0.0000001945,-0.0010016774,holgura,0.2000000000
0.0235000000,-0.0000007767,0.0066180352,holgura,0.2000000000
0.0240000000,-0.0000005174,0.0285088790,holgura,0.2000000000
0.0245000000,-0.0000010587,0.0004543988,holgura,0.2000000000
0.0250000000,-0.0000009318,0.0010889398,holgura,0.2000000000
0.0255000000,-0.0000003086,-0.0085970180,holgura,0.2000000000
0.0260000000,-0.0000013150,0.0068936306,holgura,0.2000000000
0.0265000000,-0.0000004940,-0.0047655268,holgura,0.2000000000
0.0270000000,-0.0000001474,-0.0022073217,holgura,0.2000000000
0.0275000000,-0.0000007306,0.0202831253,holgura,0.2000000000
0.0280000000,-0.0000005464,-0.0089411832,holgura,0.2000000000
0.0285000000,-0.0000012852,0.0018997379,holgura,0.2000000000
0.0290000000,-0.0000006647,-0.0045488504,holgura,0.2000000000
0.0295000000,-0.0000007757,-0.0176154127,holgura,0.2000000000
0.0300000000,-0.0000007751,-0.0095094430,holgura,0.2000000000
0.0305000000,-0.0000007998,0.0118856139,holgura,0.2000000000
0.0310000000,-0.0000010278,-0.0021715246,holgura,0.2000000000
0.0315000000,-0.0000004776,-0.0055100653,holgura,0.2000000000
