t,x,F,falla,severidad
0.0000000000,0.0000580050,-0.0101006724,saludable,0.2000000000
0.0005000000,-0.0000584992,0.0015979817,saludable,0.2000000000
0.0010000000,-0.0000062435,0.0081006177,saludable,0.2000000000
0.0015000000,-0.0000195442,-0.0075029741,saludable,0.2000000000
0.0020000000,0.0000279236,0.0242046000,saludable,0.2000000000
0.0025000000,-0.0000399363,0.0222437764,saludable,0.2000000000
0.0030000000,0.0000902079,0.0092274337,saludable,0.2000000000
0.0035000000,0.0000646399,0.0179176418,saludable,0.2000000000
0.0040000000,0.0000794260,0.0036067413,saludable,0.2000000000
0.0045000000,-0.0000064176,0.0129096351,saludable,0.2000000000
0.0050000000,0.0000682785,0.0371933792,saludable,0.2000000000
0.0055000000,-0.0000660433,0.0408337708,saludable,0.2000000000
0.0060000000,-0.0000421779,0.0162119991,saludable,0.2000000000
0.0065000000,-0.0000543947,0.0093304165,saludable,0.2000000000
0.0070000000,-0.0000400831,0.0346534488,saludable,0.2000000000
0.0075000000,0.0000037904,0.0333402262,saludable,0.2000000000
0.0080000000,-0.0000767621,0.0432263290,saludable,0.2000000000
0.0085000000,0.0000377866,0.0503636357,saludable,0.2000000000
0.0090000000,-0.0000470300,0.0533577337,saludable,0.2000000000
0.0095000000,0.0000635067,0.0496251992,saludable,0.2000000000
0.0100000000,-0.0000428608,0.0499454066,saludable,0.2000000000
0.0105000000,-0.0000418814,0.0547385001,saludable,0.2000000000
0.0110000000,-0.0000086776,0.0434898932,saludable,0.2000000000
0.0115000000,-0.0000302972,0.0705490556,saludable,0.2000000000
0.0120000000,-0.0001003360,0.0530151970,saludable,0.2000000000
0.0125000000,0.0000603798,0.0578380146,saludable,0.2000000000
0.0130000000,-0.0000020518,0.0797768576,saludable,0.2000000000
0.0135000000,0.0000308382,0.0525360388,saludable,0.2000000000
0.0140000000,0.0000280728,0.0687805045,saludable,0.2000000000
0.0145000000,-0.0001347352,0.0847684435,saludable,0.2000000000
0.0150000000,-0.0000313800,0.0519624215,saludable,0.2000000000
0.0155000000,0.0000318378,0.0762588178,saludable,0.2000000000
0.0160000000,0.0000308761,0.0783101897,saludable,0.2000000000
0.0165000000,-0.0000351775,0.0860413994,saludable,0.2000000000
0.0170000000,0.0000785635,0.0729231892,saludable,0.2000000000
0.0175000000,0.0001195363,0.0926564357,saludable,0.2000000000
0.0180000000,-0.0000261205,0.0897311302,saludable,0.2000000000
0.0185000000,0.0000547762,0.1046803267,saludable,0.2000000000
0.0190000000,0.0000135087,0.1043548213,saludable,0.2000000000
0.0195000000,0.0000071840,0.0949236709,saludable,0.2000000000
0.0200000000,0.0000033440,0.0865824079,saludable,0.2000000000
0.0205000000,-0.0001067151,0.0928317857,saludable,0.2000000000
0.0210000000,-0.0000720698,0.1076425858,saludable,0.2000000000
0.0215000000,0.0000857548,0.0915334877,saludable,0.2000000000
0.0220000000,-0.0000121350,0.1041951529,saludable,0.2000000000
0.0225000000,0.0000015136,0.1040443169,saludable,0.2000000000
0.0230000000,-0.0000746183,0.1108280186,saludable,0.2000000000
0.0235000000,-0.0000504700,0.1053633505,saludable,0.2000000000
0.0240000000,-0.0000258093,0.1257691162,saludable,0.2000000000
0.0245000000,0.0000037446,0.1217262113,saludable,0.2000000000
0.0250000000,-0.0000515173,0.1177065157,saludable,0.2000000000
0.0255000000,0.0000375224,0.1209098305,saludable,0.2000000000
0.0260000000,0.0000858955,0.1326119438,saludable,0.2000000000
0.0265000000,0.0000951551,0.1274817682,saludable,0.2000000000
0.0270000000,-0.0000238930,0.1337878227,saludable,0.2000000000
0.0275000000,0.0000348050,0.1496476176,saludable,0.2000000000
0.0280000000,0.0000375465,0.1344851086,saludable,0.2000000000
0.0285000000,-0.0000590272,0.1378256161,saludable,0.2000000000
0.0290000000,0.0000069332,0.1341023796,saludable,0.2000000000
0.0295000000,-0.0000129933,0.1412678372,saludable,0.2000000000
0.0300000000,0.0000492448,0.1512635657,saludable,0.2000000000
0.0305000000,-0.0000561847,0.1343521576,saludable,0.2000000000
0.0310000000,0.0000841989,0.1526416921,saludable,0.2000000000
0.0315000000,0.0000335788,0.1735393444,saludable,0.2000000000
0.0320000000,0.0000510865,0.1499653389,saludable,0.2000000000
0.0325000000,0.0000454926,0.1567410054,saludable,0.2000000000
0.0330000000,0.0000556860,0.1690599082,saludable,0.2000000000
0.0335000000,-0.0000274897,0.1586077116,saludable,0.2000000000
0.0340000000,-0.0000114749,0.1563121257,saludable,0.2000000000
0.0345000000,0.0000101899,0.1683119956,saludable,0.2000000000
0.0350000000,0.0000995344,0.1586751603,saludable,0.2000000000
0.0355000000,-0.0000689784,0.1653962346,saludable,0.2000000000
0.0360000000,0.0000191850,0.1693589695,saludable,0.2000000000
0.0365000000,-0.0000228078,0.1763169907,saludable,0.2000000000
0.0370000000,0.0000582210,0.1657285241,saludable,0.2000000000
0.0375000000,0.0000836057,0.1893076437,saludable,0.2000000000
0.0380000000,0.0000047558,0.1763969763,saludable,0.2000000000
0.0385000000,-0.0000429010,0.1729861632,saludable,0.2000000000
0.0390000000,0.0000579805,0.1914307685,saludable,0.2000000000
0.0395000000,0.0000310271,0.1768974046,saludable,0.2000000000
0.0400000000,0.0000096789,0.1968606549,saludable,0.2000000000
0.0405000000,0.0000669973,0.1851402074,saludable,0.2000000000
0.0410000000,-0.0000089851,0.2080339719,saludable,0.2000000000
0.0415000000,-0.0000164087,0.1934539717,saludable,0.2000000000
0.0420000000,0.0000128437,0.1896915027,saludable,0.2000000000
0.0425000000,-0.0000022363,0.1845852062,saludable,0.2000000000
0.0430000000,0.0000944233,0.2080458981,saludable,0.2000000000
0.0435000000,-0.0000294200,0.2045145563,saludable,0.2000000000
0.0440000000,0.0000801070,0.2023020478,saludable,0.2000000000
0.0445000000,-0.0000220510,0.2078450850,saludable,0.2000000000
0.0450000000,0.0000986150,0.2262383859,saludable,0.2000000000
0.0455000000,0.0000792907,0.2213400171,saludable,0.2000000000
0.0460000000,0.0000144442,0.2061750305,saludable,0.2000000000
0.0465000000,0.0001159339,0.2214923402,saludable,0.2000000000
0.0470000000,0.0001818810,0.2298834830,saludable,0.2000000000
0.0475000000,0.0001128165,0.2055072672,saludable,0.2000000000
0.0480000000,0.0001480597,0.2432888235,saludable,0.2000000000
0.0485000000,0.0001276480,0.2319035097,saludable,0.2000000000
0.0490000000,0.0001177792,0.2292587479,saludable,0.2000000000
0.0495000000,0.0001265283,0.2242680980,saludable,0.2000000000
0.0500000000,0.0001769775,0.2265035864,saludable,0.2000000000
0.0505000000,0.0002080858,0.2330677151,saludable,0.2000000000
0.0510000000,0.0000527495,0.2079368003,saludable,0.2000000000
0.0515000000,0.0001280516,0.2580593701,saludable,0.2000000000
0.0520000000,0.0001226614,0.2491894988,saludable,0.2000000000
0.0525000000,0.0000837158,0.2445826549,saludable,0.2000000000
0.0530000000,0.0000918224,0.2500722386,saludable,0.2000000000
0.0535000000,0.0001627634,0.2465301155,saludable,0.2000000000
0.0540000000,0.0001647075,0.2475832230,saludable,0.2000000000
0.0545000000,0.0001000682,0.2586417801,saludable,0.2000000000
0.0550000000,0.0001089604,0.2610363333,saludable,0.2000000000
0.0555000000,0.0002385228,0.2593113292,saludable,0.2000000000
0.0560000000,0.0001174551,0.2681534902,saludable,0.2000000000
0.0565000000,0.0000962597,0.2703480401,saludable,0.2000000000
0.0570000000,0.0001856495,0.2622813146,saludable,0.2000000000
0.0575000000,0.0001545254,0.2564803506,saludable,0.2000000000
0.0580000000,0.0000506201,0.2703957985,saludable,0.2000000000
0.0585000000,0.0001459948,0.2593050210,saludable,0.2000000000
0.0590000000,0.0002286227,0.2688574087,saludable,0.2000000000
0.0595000000,0.0002371887,0.2775984475,saludable,0.2000000000
0.0600000000,0.0002125527,0.2652353802,saludable,0.2000000000
0.0605000000,0.0001768793,0.2809965784,saludable,0.2000000000
0.0610000000,0.0002320045,0.2725683791,saludable,0.2000000000
0.0615000000,0.0002012995,0.3027129883,saludable,0.2000000000
0.0620000000,0.0001891348,0.2851487631,saludable,0.2000000000
0.0625000000,0.0002430346,0.2954497565,saludable,0.2000000000
0.0630000000,0.0001904552,0.2953655256,saludable,0.2000000000
0.0635000000,0.0002708921,0.3077575923,saludable,0.2000000000
