t,x,F,falla,severidad
0.0,-2.702371355400069e-05,0.004967141530112327,saludable,0.0
0.001,-5.781745160610956e-06,0.003329734341330086,saludable,0.0
0.002,-3.170705213324428e-05,0.015901570323298184,saludable,0.0
0.003,-1.229992165809953e-05,0.029367151569355335,saludable,0.0
0.004,-7.572586271940057e-05,0.016507278034926506,saludable,0.0
0.005,8.66453156864861e-06,0.02121912194757928,saludable,0.0
0.006,2.5619164855833745e-07,0.04406395061448663,saludable,0.0
0.007,-3.238061851568565e-05,0.04065708215671582,saludable,0.0
0.008,2.6864037706135224e-05,0.03299841513896279,saludable,0.0
0.009000000000000001,3.8195307664947646e-05,0.0478286255678047,saludable,0.0
0.01,-6.344073539058766e-05,0.0424780866216712,saludable,0.0
0.011,-2.9350382263506438e-05,0.04716350701174696,saludable,0.0
0.012,-2.928738052400847e-05,0.05894820114934396,saludable,0.0
0.013000000000000001,-3.574972801765218e-05,0.04210271308520821,saludable,0.0
0.014,3.549037988076178e-05,0.0486923678557436,saludable,0.0
0.015,-5.001215542537249e-06,0.06502372544480002,saludable,0.0
0.016,-7.3095310303418415e-06,0.06522229837217564,saludable,0.0
0.017,-7.634175446342551e-05,0.08319597641626353,saludable,0.0
0.018000000000000002,2.9951779268722794e-05,0.07567497094197351,saludable,0.0
0.019,-4.434743335752442e-05,0.07533262882080713,saludable,0.0
0.02,8.459287907881392e-06,0.10881128365219353,saludable,0.0
0.021,1.8058629903097736e-05,0.09659476956556115,saludable,0.0
0.022,6.241215959451294e-05,0.10422408821652952,saludable,0.0
0.023,-4.33400772490531e-05,0.09399606543933123,saludable,0.0
0.024,-0.00011062151643587818,0.10749285929042264,saludable,0.0
0.025,1.8875791959238685e-05,0.11873738036947426,saludable,0.0
0.026000000000000002,8.497450556590769e-05,0.11080794596905548,saludable,0.0
0.027,6.400060890762456e-05,0.1307627791964707,saludable,0.0
0.028,2.442000995919018e-05,0.12568545008125723,saludable,0.0
0.029,-1.9112972024200153e-06,0.1334589888820453,saludable,0.0
0.03,5.1931044288273706e-05,0.13504093186057586,saludable,0.0
0.031,-1.7352410171235138e-05,0.16426076444362797,saludable,0.0
0.032,4.280733401310705e-05,0.15028083882849141,saludable,0.0
0.033,4.624864262976838e-05,0.14451430501496892,saludable,0.0
0.034,7.086507634633265e-05,0.16799017233728525,saludable,0.0
0.035,0.00014144415013446466,0.15222723228646676,saludable,0.0
0.036000000000000004,4.9403373485040313e-05,0.1711928179841676,saludable,0.0
0.037,1.618230667145979e-05,0.15417349278710069,saludable,0.0
0.038,3.85348533091727e-05,0.16515177538564096,saludable,0.0
0.039,-2.8098333420828017e-05,0.18506305110070367,saludable,0.0
0.04,1.8212668913049213e-05,0.19513719963962523,saludable,0.0
0.041,3.3119521069073325e-05,0.19412153524231102,saludable,0.0
0.042,3.218403432175415e-05,0.1959038430056578,saludable,0.0
0.043000000000000003,6.309412541704742e-05,0.19869884845026686,saludable,0.0
0.044,2.8092993936009595e-05,0.1915712426807883,saludable,0.0
0.045,0.00011006519993180864,0.2038015467610804,saludable,0.0
0.046,6.956632146050835e-05,0.2110340080165152,saludable,0.0
0.047,7.373057502614892e-05,0.2308488370871397,saludable,0.0
0.048,6.571872798705078e-05,0.2283477606947201,saludable,0.0
0.049,8.999640462175241e-05,0.21191181481379037,saludable,0.0
0.05,0.00012194430053917067,0.23741030200593854,saludable,0.0
0.051000000000000004,5.9541790508428856e-05,0.23494242467461562,saludable,0.0
0.052000000000000005,7.34400608694459e-05,0.2366442837761647,saludable,0.0
0.053,9.335953405954053e-05,0.2541469260798805,saludable,0.0
0.054,5.7593675663782806e-05,0.2629531529866117,saludable,0.0
0.055,8.483769735672777e-05,0.2665652207963268,saludable,0.0
0.056,0.00010496003588792967,0.2534657056757316,saludable,0.0
0.057,0.0001656304089817613,0.2633673501692971,saludable,0.0
0.058,0.0001479695562104149,0.2743697653096374,saludable,0.0
0.059000000000000004,0.00015226028989266454,0.2854062357878257,saludable,0.0
0.06,0.00018585521558881364,0.2754486245932812,saludable,0.0
0.061,0.0001538157375541952,0.2829692211522143,saludable,0.0
0.062,0.00018268571129339547,0.2783436992539541,saludable,0.0
0.063,0.00017089665661521822,0.28202194767194283,saludable,0.0
0.064,0.00019384459718454352,0.3066818966952704,saludable,0.0
0.065,0.00016832986843489653,0.3166872558337373,saludable,0.0
0.066,0.00010271884734031167,0.30696849688859895,saludable,0.0
0.067,0.00020387750726677377,0.3222831281654547,saludable,0.0
0.068,0.0002753661290666006,0.320418752176786,saludable,0.0
0.069,0.00026491474033329797,0.31490111199661774,saludable,0.0
0.07,0.00027615158129254446,0.3295114413979528,saludable,0.0
0.07100000000000001,0.0002969064092487508,0.34581821838839594,saludable,0.0
0.07200000000000001,0.0002611590444438964,0.3346150847818252,saludable,0.0
0.073,0.0002759460274190163,0.35515033282830544,saludable,0.0
0.074,0.0002540284832837427,0.3178319886476202,saludable,0.0
0.075,0.000277049831039603,0.35676893423937023,saludable,0.0
0.076,0.0003255456622622933,0.3539357093373084,saludable,0.0
0.077,0.00036054732686033704,0.35458528852231347,saludable,0.0
0.078,0.00031850283353989707,0.3629978211359488,saludable,0.0
0.079,0.00031804741441003375,0.3467040376981734,saludable,0.0
0.08,0.0003483219368499451,0.3688771178285434,saludable,0.0
0.081,0.00038485096295847425,0.37913360303512716,saludable,0.0
0.082,0.00031575055850800965,0.394824523595339,saludable,0.0
0.083,0.0002946637238608587,0.37934038657688546,saludable,0.0
0.084,0.0003778302397148642,0.38090999280085613,saludable,0.0
0.085,0.0003645650724162594,0.38844346770421134,saludable,0.0
0.08600000000000001,0.00040690490982289105,0.4070753727572603,saludable,0.0
0.08700000000000001,0.00043541800659220245,0.4056633152461445,saludable,0.0
0.088,0.0004375567300557171,0.4015267289201425,saludable,0.0
0.089,0.0005284653535953275,0.4163995415578413,saludable,0.0
0.09,0.0004983117278929634,0.41667412378444074,saludable,0.0
0.091,0.0005124373254271693,0.4298201595048986,saludable,0.0
0.092,0.0005407663439028994,0.41753735577824375,saludable,0.0
0.093,0.0004860051241888317,0.4256991938584985,saludable,0.0
0.094,0.0005891660465281361,0.42946634968969716,saludable,0.0
0.095,0.0005608009370546816,0.4231575208434993,saludable,0.0
0.096,0.000607187138860534,0.4451526714450082,saludable,0.0
0.097,0.0005542332364035196,0.44919431515143005,saludable,0.0
0.098,0.0005520012009136751,0.45102062243974,saludable,0.0
0.099,0.0006642528080801415,0.45300271007824955,saludable,0.0
0.1,0.0006641792420415324,0.4455672721568584,saludable,0.0
0.101,0.0006308671567689179,0.45988016579969965,saludable,0.0
0.10200000000000001,0.0006502811510639895,0.46501829138212375,saludable,0.0
0.10300000000000001,0.0007485164387732216,0.4647745963593289,saludable,0.0
0.10400000000000001,0.0006745103124754467,0.4755294964670528,saludable,0.0
0.105,0.000806770410982012,0.4855208358869488,saludable,0.0
0.106,0.000724151401030058,0.5046730865760168,saludable,0.0
0.107,0.0008052025202933148,0.4918807698878096,saludable,0.0
0.108,0.0007862255297854114,0.49702706138775404,saludable,0.0
0.109,0.0008435138667851116,0.49801640328003743,saludable,0.0
0.11,0.0008178507244874766,0.4838751323255638,saludable,0.0
0.111,0.0008536225835833575,0.5070923028341697,saludable,0.0
0.112,0.0008825356587956753,0.5122468939921873,saludable,0.0
0.113,0.00086180506873838,0.540556654780848,saludable,0.0
0.114,0.0009528581164423792,0.5182726956370958,saludable,0.0
0.115,0.0009242235941241553,0.5274762187520847,saludable,0.0
0.116,0.0009574284558727419,0.5283703747834964,saludable,0.0
0.117,0.0009488478311590826,0.5212797052020792,saludable,0.0
0.11800000000000001,0.0009084044604355813,0.5486358917511229,saludable,0.0
0.11900000000000001,0.0010258793104701075,0.5489602960217757,saludable,0.0
0.12,0.001152911437291513,0.5535766505951301,saludable,0.0
0.121,0.0011108276649522445,0.540789824776506,saludable,0.0
0.122,0.0011019744020205444,0.5681209529832523,saludable,0.0
0.123,0.0011157897990504274,0.5442756918765558,saludable,0.0
0.124,0.001151019911202213,0.5683557880385485,saludable,0.0
0.125,0.0011960615895877304,0.5885765499585099,saludable,0.0
0.126,0.001151196866343655,0.560943109246185,saludable,0.0
0.127,0.0012675925931777648,0.5693536165454001,saludable,0.0
0.128,0.0012763851723551658,0.5801728118900594,saludable,0.0
0.129,0.0013014837570261694,0.5782927698149942,saludable,0.0
0.13,0.0013155020471163246,0.5719635847066245,saludable,0.0
0.131,0.001324164797050101,0.5922899469562093,saludable,0.0
0.132,0.001375953425345706,0.5851067249387989,saludable,0.0
0.133,0.0013985684592945457,0.6045824192375158,saludable,0.0
0.134,0.001386783996515836,0.5947602149051896,saludable,0.0
0.135,0.0014042825768853207,0.623552934714402,saludable,0.0
0.136,0.001457820013902818,0.6043113040630663,saludable,0.0
0.137,0.0015424578753449338,0.6130045230244195,saludable,0.0
0.138,0.001457780262232998,0.6284326085786572,saludable,0.0
0.139,0.0014757602679185955,0.6120520307874577,saludable,0.0
0.14,0.0015684130527493859,0.6306893926533371,saludable,0.0
0.14100000000000001,0.0015913700396143133,0.6455311646660504,saludable,0.0
0.14200000000000002,0.001623988772648168,0.6204206158782689,saludable,0.0
